,Loss,IoU
0,0.9999945605242694,4.43675032699873e-06
1,0.9998842588177433,9.562053323693194e-05
2,0.9896146986219618,0.010164923466854143
3,0.5463693384770993,0.4536305503160865
4,0.24265222196225766,0.7573478001135366
5,0.2365115549829271,0.7634884538473906
6,0.2374129229121738,0.762587081502985
7,0.2374225656191508,0.7625774476263258
8,0.2380717948631004,0.7619282205899557
9,0.235654111261721,0.7643458931534378
10,0.23669095834096274,0.7633090438666167
11,0.2373641883885419,0.7626358204417758
12,0.23727699120839438,0.762723015414344
13,0.23712856239742702,0.7628714464328907
14,0.23548184059284352,0.7645181704450537
15,0.23442955811818442,0.7655704507121334
16,0.23577272671240349,0.7642272953633908
17,0.23681473952752571,0.7631852781331098
18,0.23491742655082984,0.765082577864329
19,0.23565602081793327,0.7643439924275434
20,0.2365916989467762,0.7634083032608032
21,0.23600829751403243,0.7639917135238647
22,0.23659526860272442,0.7634047380200139
23,0.23521129731778745,0.7647887070973715
24,0.23584647311104667,0.7641535313041122
25,0.23416897544154414,0.7658310289736148
26,0.23495251161080818,0.7650474950119301
27,0.23653081832108674,0.7634691860940721
28,0.236254440413581,0.763745575039475
29,0.2357874181535509,0.7642125906767668
30,0.23466967211829293,0.7653303367120249
31,0.23434047787277787,0.7656595442030165
32,0.23655492950368812,0.763445085949368
33,0.23532514660446732,0.7646748754713271
34,0.23643423230559737,0.7635657831474587
35,0.23569022946887547,0.7643097903993394
36,0.2352846551824499,0.7647153624781856
37,0.23561325779667608,0.76438675765638
38,0.23504627854735763,0.7649537302829601
39,0.23494934373431736,0.7650506849642154
40,0.23513079793364913,0.7648692108966686
41,0.23542371723386976,0.7645763026343452
42,0.23620857132805717,0.7637914441249989
43,0.2344412847801491,0.7655587395032247
44,0.23325230015648735,0.7667477197117276
45,0.236576188493658,0.7634238335821364
46,0.23524109964017514,0.7647589180204604
47,0.2355754265078792,0.7644245867375974
48,0.23650539142114144,0.7634946284470735
49,0.23589243049974795,0.7641075827457287
